"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
313.00000,9696.145585,-609.037340,6099.526537,2.438046,13.633886,2.416406
314.00000,9821.735087,210.716821,6235.562293,1.746709,13.682277,2.116009
315.00000,9905.588826,1031.756621,6353.186525,1.047360,13.676716,1.802846
316.00000,9947.318262,1850.840735,6451.659961,0.343074,13.617087,1.477818
317.00000,9946.720142,2664.727111,6530.299586,-0.363048,13.503496,1.141898
318.00000,9903.777518,3470.186726,6588.482594,-1.067899,13.336270,0.796119
319.00000,9818.659927,4264.016933,6625.650211,-1.768372,13.115960,0.441580
320.00000,9691.722715,5043.054759,6641.311331,-2.461382,12.843338,0.079438
321.00000,9523.505524,5804.190061,6635.045931,-3.143873,12.519393,-0.289095
322.00000,9314.729954,6544.378507,6606.508243,-3.812837,12.145328,-0.662758
323.00000,9066.296396,7260.654311,6555.429668,-4.465325,11.722558,-1.040240
324.00000,8779.280062,7950.142678,6481.621404,-5.098460,11.252700,-1.420192
325.00000,8454.926212,8610.071898,6384.976778,-5.709453,10.737571,-1.801227
326.00000,8094.644722,9237.784731,6265.473591,-6.295612,10.179180,-2.181928
327.00000,7700.003387,9830.750866,6123.174479,-6.854356,9.579716,-2.560852
328.00000,7272.721630,10386.575542,5958.230518,-7.383228,8.941546,-2.936537
329.00000,6814.661976,10903.011944,5770.879623,-7.879902,8.267198,-3.307509
330.00000,6327.822588,11377.968752,5561.449751,-8.342200,7.559358,-3.672286
331.00000,5814.327322,11809.520954,5330.356353,-8.768095,6.820851,-4.029386
332.00000,5276.417282,12195.916265,5078.105172,-9.155726,6.054637,-4.377332
333.00000,4716.439551,12535.584307,4805.288546,-9.503403,5.263790,-4.714663
334.00000,4136.837916,12827.141816,4512.587718,-9.809616,4.451494,-5.039932
335.00000,3540.140541,13069.399924,4200.768138,-10.073041,3.621023,-5.351723
336.00000,2928.949967,13261.368131,3870.681109,-10.292546,2.775731,-5.648649
337.00000,2305.929984,13402.259501,3523.258281,-10.467200,1.919032,-5.929362
