"Time (EpMin)","x (km)","y (km)","z (km)","x (km/sec)","y (km/sec)","z (km/sec)"
243.00000,-1090.709669,-19850.557487,17915.548704,-4.464010,3.731974,3.840457
244.00000,-1364.540113,-19639.023930,18138.456225,-4.657911,3.317117,3.588667
245.00000,-1648.961219,-19452.723417,18346.067995,-4.816905,2.891230,3.330790
246.00000,-1941.854136,-19292.252935,18538.054099,-4.940211,2.456477,3.068000
247.00000,-2241.058823,-19158.078697,18714.155335,-5.027221,2.015060,2.801497
248.00000,-2544.383437,-19050.533425,18874.185453,-5.077500,1.569216,2.532496
249.00000,-2849.615450,-18969.815017,19018.031476,-5.090793,1.121201,2.262223
250.00000,-3154.532909,-18915.985815,19145.653794,-5.067024,0.673284,1.991911
251.00000,-3456.914108,-18888.971893,19257.087198,-5.006295,0.227729,1.722792
252.00000,-3754.548873,-18888.563658,19352.440204,-4.908887,-0.213209,1.456091
253.00000,-4045.249666,-18914.417056,19431.894180,-4.775258,-0.647296,1.193023
254.00000,-4326.861310,-18966.054869,19495.703133,-4.606042,-1.072335,0.934782
255.00000,-4597.271962,-19042.869291,19544.191983,-4.402045,-1.486171,0.682540
256.00000,-4854.423160,-19144.124806,19577.755084,-4.164241,-1.886703,0.437439
257.00000,-5096.319729,-19268.961672,19596.854411,-3.893767,-2.271895,0.200585
258.00000,-5321.039886,-19416.400400,19602.016804,-3.591918,-2.639785,-0.026953
259.00000,-5526.743773,-19585.346019,19593.832143,-3.260143,-2.988494,-0.244155
260.00000,-5711.682862,-19774.593688,19572.949975,-2.900032,-3.316239,-0.450050
261.00000,-5874.208309,-19982.834438,19540.076477,-2.513317,-3.621333,-0.643723
262.00000,-6012.778985,-20208.661497,19495.971019,-2.101853,-3.902203,-0.824315
263.00000,-6125.968804,-20450.577095,19441.442477,-1.667621,-4.157391,-0.991035
264.00000,-6212.473807,-20706.999692,19377.345303,-1.212708,-4.385563,-1.143157
265.00000,-6271.118325,-20976.271621,19304.575374,-0.739303,-4.585517,-1.280025
266.00000,-6300.860824,-21256.667098,19224.065651,-0.249684,-4.756185,-1.401060
267.00000,-6300.798808,-21546.400552,19136.781647,0.253791,-4.896642,-1.505757
268.00000,-6270.173381,-21843.635253,19043.716750,0.768697,-5.006110,-1.593692
269.00000,-6208.372802,-22146.492181,18945.887403,1.292555,-5.083957,-1.664521
270.00000,-6114.935547,-22453.059100,18844.328179,1.822840,-5.129708,-1.717983
271.00000,-5989.552554,-22761.399792,18740.086769,2.356995,-5.143040,-1.753903
272.00000,-5832.068753,-23069.563410,18634.218901,2.892446,-5.123788,-1.772188
273.00000,-5642.483840,-23375.593898,18527.783229,3.426611,-5.071944,-1.772833
274.00000,-5420.952370,-23677.539437,18421.836200,3.956912,-4.987656,-1.755917
275.00000,-5167.782989,-23973.461873,18317.426940,4.480791,-4.871232,-1.721605
276.00000,-4883.437053,-24261.446078,18215.592168,4.995720,-4.723133,-1.670145
277.00000,-4568.526513,-24539.609293,18117.351078,5.499212,-4.543972,-1.601870
278.00000,-4223.810545,-24806.109855,18023.700789,5.988836,-4.334514,-1.517193
279.00000,-3850.192706,-25059.156644,17935.610930,6.462226,-4.095670,-1.416606
280.00000,-3448.716061,-25297.017375,17854.019333,6.917093,-3.828492,-1.300681
281.00000,-3020.558378,-25518.027053,17779.827386,7.351239,-3.534170,-1.170060
282.00000,-2567.026484,-25720.596031,17713.895671,7.762562,-3.214026,-1.025460
283.00000,-2089.550153,-25903.217787,17657.039692,8.149071,-2.869504,-0.867664
284.00000,-1589.674711,-26064.475816,17610.026288,8.508894,-2.502168,-0.697519
285.00000,-1069.054436,-26203.051072,17573.569366,8.840287,-2.113693,-0.515933
286.00000,-529.444117,-26317.727959,17548.326802,9.141640,-1.705854,-0.323869
287.00000,27.309216,-26407.400316,17534.897149,9.411489,-1.280522,-0.122339
288.00000,599.275194,-26471.076766,17533.816736,9.648522,-0.839651,0.087596
289.00000,1184.449299,-26507.885537,17545.557051,9.851581,-0.385271,0.304835
290.00000,1780.762405,-26517.078786,17570.522360,10.019673,0.080521,0.528243
